id,brand,model,year,mileage_km,engine_l,fuel,transmission,city,price_rub
1,Ford,Focus,2008,214393,1.6,petrol,manual,Taganrog,180000
2,Kia,Cerato,2014,28331,1.2,petrol,manual,Voronezh,623000
3,Honda,Civic,2019,190363,2.4,petrol,manual,Voronezh,946000
4,Kia,Rio,2019,130785,1.6,petrol,manual,Moscow,781000
5,Kia,Ceed,2009,114104,1.6,petrol,automatic,Saint-Petersburg,380000
6,Honda,Civic,2022,119230,1.2,petrol,automatic,Voronezh,1142000
7,Honda,Civic,2019,38233,1.2,petrol,automatic,Taganrog,1089000
8,Kia,Ceed,2012,138858,2.4,diesel,manual,Moscow,506000
9,Ford,Fiesta,2019,265538,2.4,petrol,automatic,Rostov,703000
10,Ford,Focus,2010,141178,1.8,petrol,automatic,Saint-Petersburg,366000
11,Toyota,Yaris,2013,240948,1.2,petrol,manual,Moscow,483000
12,Volkswagen,Golf,2011,259373,2.0,diesel,manual,Saint-Petersburg,312000
13,Volvo,V50,2015,57452,1.6,petrol,automatic,Voronezh,830000
14,Ford,Mondeo,2014,255358,2.0,petrol,manual,Rostov,367000
15,Volvo,S40,2020,32351,1.2,petrol,manual,Saint-Petersburg,1119000
16,Honda,Civic,2014,120039,2.0,hybrid,automatic,Voronezh,745000
17,Ford,Mondeo,2009,198706,2.0,diesel,automatic,Moscow,180000
18,Volkswagen,Polo,2010,138940,1.2,hybrid,automatic,Moscow,443000
19,Toyota,Yaris,2022,47894,2.4,petrol,automatic,Voronezh,1442000
20,Toyota,Camry,2020,62349,2.0,hybrid,automatic,Taganrog,1403000
21,Volkswagen,Polo,2008,49325,1.6,diesel,automatic,Moscow,434000
22,Kia,Rio,2022,168729,1.2,petrol,automatic,Taganrog,968000
23,Toyota,Corolla,2018,144592,2.0,petrol,automatic,Voronezh,1059000
24,Toyota,Yaris,2020,211347,2.4,petrol,manual,Saint-Petersburg,1058000
25,Volvo,V50,2015,51720,1.4,petrol,manual,Voronezh,868000
26,Toyota,Yaris,2011,21885,1.2,diesel,manual,Taganrog,671000
27,Volkswagen,Golf,2016,82391,1.6,petrol,manual,Rostov,876000
28,Honda,Accord,2011,225683,1.8,diesel,manual,Taganrog,411000
29,Volkswagen,Polo,2014,142427,2.4,petrol,automatic,Saint-Petersburg,655000
30,Kia,Ceed,2019,108946,1.2,petrol,manual,Krasnodar,783000
31,Volvo,S40,2012,141275,1.4,diesel,manual,Voronezh,422000
32,Kia,Cerato,2016,239159,1.2,hybrid,automatic,Rostov,455000
33,Volvo,S60,2015,76032,1.8,hybrid,manual,Taganrog,869000
34,Volkswagen,Polo,2012,130888,2.4,hybrid,automatic,Voronezh,708000
35,Toyota,Corolla,2012,77068,1.2,petrol,automatic,Saint-Petersburg,725000
36,Kia,Rio,2017,144987,2.0,hybrid,automatic,Taganrog,865000
37,Kia,Rio,2009,175984,1.2,petrol,manual,Taganrog,225000
38,Toyota,Yaris,2017,30418,2.0,petrol,automatic,Voronezh,1235000
39,Volkswagen,Polo,2011,195564,2.4,petrol,manual,Rostov,423000
40,Volvo,S60,2022,217096,1.2,petrol,automatic,Voronezh,837000
41,Kia,Cerato,2011,152614,1.6,petrol,manual,Taganrog,339000
42,Volkswagen,Polo,2010,134867,2.0,diesel,automatic,Saint-Petersburg,514000
43,Kia,Cerato,2021,165385,1.6,hybrid,manual,Rostov,912000
44,Kia,Rio,2019,165024,1.4,petrol,automatic,Saint-Petersburg,784000
45,Toyota,Yaris,2018,243585,1.6,petrol,manual,Taganrog,721000
46,Ford,Fiesta,2021,92530,1.2,petrol,automatic,Saint-Petersburg,909000
47,Toyota,Yaris,2015,164619,2.4,petrol,manual,Taganrog,809000
48,Honda,Civic,2021,116787,2.0,petrol,manual,Taganrog,1149000
49,Volkswagen,Golf,2022,113797,1.4,petrol,automatic,Moscow,1148000
50,Volvo,V50,2019,60515,1.4,diesel,automatic,Rostov,1060000
51,Kia,Rio,2019,262348,1.6,diesel,manual,Saint-Petersburg,583000
52,Volkswagen,Golf,2020,203835,1.2,petrol,manual,Krasnodar,738000
53,Toyota,Camry,2013,100003,1.4,petrol,automatic,Krasnodar,767000
54,Volkswagen,Golf,2020,93170,1.6,petrol,manual,Voronezh,1014000
55,Kia,Rio,2022,274384,1.6,petrol,automatic,Moscow,696000
56,Kia,Cerato,2014,110619,2.4,diesel,manual,Voronezh,642000
57,Volvo,V50,2011,86773,1.2,diesel,manual,Voronezh,467000
58,Volkswagen,Polo,2009,268741,2.4,hybrid,automatic,Saint-Petersburg,200000
59,Ford,Fiesta,2016,101077,2.4,petrol,manual,Moscow,814000
60,Toyota,Corolla,2014,194307,1.8,petrol,automatic,Voronezh,763000
61,Volkswagen,Polo,2016,238556,1.2,petrol,manual,Voronezh,557000
62,Ford,Fiesta,2015,135811,1.8,petrol,automatic,Saint-Petersburg,549000
63,Ford,Focus,2012,155122,2.4,petrol,manual,Rostov,433000
64,Toyota,Corolla,2010,26402,1.2,petrol,automatic,Taganrog,744000
65,Volvo,V50,2017,70970,2.4,petrol,automatic,Rostov,982000
66,Ford,Mondeo,2008,254005,1.2,diesel,manual,Saint-Petersburg,180000
67,Volvo,S40,2016,85325,1.2,petrol,automatic,Saint-Petersburg,858000
68,Honda,Jazz,2013,269047,1.8,petrol,automatic,Voronezh,467000
69,Honda,Accord,2022,61722,2.4,diesel,automatic,Rostov,1368000
70,Honda,Accord,2018,82716,1.6,petrol,automatic,Rostov,1012000
71,Volkswagen,Polo,2022,161597,1.2,petrol,manual,Saint-Petersburg,906000
72,Ford,Focus,2009,128755,1.8,petrol,automatic,Taganrog,241000
73,Volvo,S60,2022,221797,2.0,hybrid,manual,Voronezh,1013000
74,Volvo,S40,2013,98279,1.8,diesel,automatic,Krasnodar,743000
75,Ford,Mondeo,2016,229680,2.0,diesel,automatic,Moscow,529000
76,Volvo,S40,2014,108114,2.4,petrol,manual,Rostov,809000
77,Toyota,Yaris,2016,27069,1.8,petrol,automatic,Taganrog,1138000
78,Toyota,Camry,2010,33181,1.6,petrol,manual,Moscow,724000
79,Volvo,S60,2020,269352,1.8,petrol,manual,Taganrog,796000
80,Kia,Ceed,2011,190431,1.2,diesel,automatic,Taganrog,249000
81,Toyota,Corolla,2017,59946,1.4,petrol,automatic,Voronezh,1030000
82,Volvo,V50,2012,221037,1.6,petrol,automatic,Saint-Petersburg,332000
83,Toyota,Camry,2009,171698,1.2,hybrid,automatic,Krasnodar,452000
84,Ford,Focus,2009,175214,2.4,diesel,manual,Saint-Petersburg,230000
85,Ford,Mondeo,2020,51733,2.0,diesel,manual,Krasnodar,1027000
86,Kia,Cerato,2018,109451,1.2,diesel,automatic,Taganrog,829000
87,Volkswagen,Passat,2022,237240,1.8,diesel,manual,Saint-Petersburg,939000
88,Ford,Fiesta,2017,231864,2.0,diesel,automatic,Saint-Petersburg,621000
89,Volkswagen,Polo,2021,84355,1.2,petrol,automatic,Krasnodar,1125000
90,Honda,Jazz,2014,108184,1.2,petrol,manual,Krasnodar,658000
91,Volkswagen,Polo,2013,93310,2.0,diesel,manual,Taganrog,725000
92,Toyota,Corolla,2011,208763,1.8,petrol,automatic,Saint-Petersburg,548000
93,Ford,Mondeo,2015,137486,1.2,petrol,manual,Saint-Petersburg,468000
94,Volkswagen,Passat,2017,116736,1.8,petrol,manual,Saint-Petersburg,888000
95,Volkswagen,Polo,2019,138946,1.6,petrol,manual,Saint-Petersburg,840000
96,Volkswagen,Golf,2019,160473,2.4,petrol,manual,Krasnodar,920000
97,Ford,Mondeo,2020,157530,2.0,petrol,manual,Rostov,817000
98,Toyota,Camry,2010,99237,1.2,diesel,manual,Taganrog,483000
99,Honda,Accord,2019,267487,1.4,petrol,automatic,Taganrog,643000
